id,label,username,followers
2157820581,phbolo,Philippe Bolo,3963.0
3130755833,AnnieGenevard,Annie Genevard,17413.0
836693613430046724,Jose_GonzalezFN,José GONZALEZ,707.0
1523637350089248768,CaroitEleonore,Eleonore Caroit,563.0
1441120513296764932,TaurinyaA,Andrée Taurinya,70.0
390156878,ericwoerth,Eric Woerth 🇫🇷🇺🇦,64301.0
110940220,MORELPIERRE,MOREL A L'HUISSIER,4283.0
1453357110255931399,JorysB3,Jorys BovetⓂ️,237.0
1496184473439899657,angelique_ranc,Angelique Ranc,394.0
1303630016341856263,LouiseMorel11,Louise Morel,319.0
864199451375751168,Vidal7602,Annie Vidal,6761.0
391919054,CBeaune,Clement Beaune,90228.0
2393776901,gdefournas,Grégoire de FOURNAS,4020.0
898253869,MauvieuxKevin,Kevin MAUVIEUX Ⓜ️,369.0
911178226533388288,SoPanonacle,Sophie Panonacle,3380.0
582980672,MaxMathiasin,Mathiasin,1501.0
1035417716730023936,_DidierParis,Didier Paris,7152.0
2383844606,Portes_Thomas,Thomas Portes,76182.0
881156720155930624,FabienDiFilippo,Fabien DI FILIPPO,10559.0
125094848,Bkk01,Jérôme Buisson,1778.0
1397542849122553859,CColombier_RN,Caroline Colombier Ⓜ️,1037.0
